Townland,Acres,Barony,Civil parish,Poor law union
Glebe,65,Corkaree,Taghmon,Mullingar
Glebe,68,Farbill,Killucan,Mullingar
Glebe,69,Rathconrath,Ballymore,Ballymahon
Glebe East,36,Clonlonan,Kilcleagh,Athlone
Glebe West,59,Clonlonan,Kilcleagh,Athlone
Glen,61,Fore,Rathgarve,Castletowndelvin
Glen,706,Clonlonan,Ballyloughloe,Athlone
Glendevine,152,Fartullagh,Lynn,Mullingar
Glengorm,169,Moycashel,Castletownkindalen,Mullingar
Glenidan,"1,139",Fore,St. Mary's,Castletowndelvin
Glomerstown,198,Rathconrath,Churchtown,Mullingar
Gneevebane,327,Fartullagh,Castlelost,Mullingar
Gneevebeg,301,Moycashel,Castletownkindalen,Mullingar
Gneevebrack,111,Moycashel,Castletownkindalen,Mullingar
Gneevekeel,72,Moycashel,Ardnurcher or Horseleap,Mullingar
Gneevestown,74,Rathconrath,Conry,Mullingar
Goldenisland (Kilmaine),72,Brawny,St. Mary's,Athlone
Goldenisland (or St. George),21,Brawny,St. Mary's,Athlone
Goldenisland,157,Brawny,St. Mary's,Athlone
Gormanstown,95,Delvin,Kilcumny,Castletowndelvin
Gortanear,234,Moygoish,Street,Granard
Gorteen,585,Fartullagh,Lynn,Mullingar
Gorteen,76,Clonlonan,Kilcleagh,Athlone
Gortmore,487,Kilkenny West,Noughaval,Ballymahon
Gortumly,618,Fartullagh,Castlelost,Mullingar
Graffanstown,223,Delvin,Killagh,Castletowndelvin
Grange,191,Moycashel,Kilcumreragh,Athlone
Grange,208,Corkaree,Lackan,Mullingar
Grange,330,Moygoish,Kilbixy,Mullingar
Grange and Kiltober,296,Moycashel,Kilbeggan,Tullamore
Grange Beg,667,Farbill,Killucan,Castletowndelvin
Grange More,"2,154",Farbill,Killucan,Castletowndelvin
Grange North,99,Moyashel and Magheradernon,Mullingar,Mullingar
Grange South,177,Moyashel and Magheradernon,Mullingar,Mullingar
Grangegeeth,150,Corkaree,Portloman,Mullingar
Grangegibbon,141,Moycashel,Kilbeggan,Tullamore
Grangestown,113,Delvin,Castletowndelvin,Castletowndelvin
Grangestown,142,Fore,Faughalstown,Castletowndelvin
Grangestown,68,Delvin,Kilcumny,Castletowndelvin
Greatdown,633,Farbill,Killucan,Mullingar
Greenan,318,Moycashel,Kilbeggan,Tullamore
Greenan,4,Delvin,Killucan,Castletowndelvin
Grehanstown,282,Farbill,Killucan,Mullingar
Griffinstown,"1,676",Farbill,Killucan,Mullingar
Grouselodge (or Coolatoor),122,Moycashel,Kilcumreragh,Athlone
Guigginstown,235,Moycashel,Kilbeggan,Tullamore
Guilford (or Davidstown),179,Fartullagh,Clonfad,Mullingar
Habsborough,216,Moyashel and Magheradernon,Mullingar,Mullingar
Hall,"1,113",Clonlonan,Kilcleagh,Athlone
Hallsfarm,189,Moycashel,Kilbeggan,Tullamore
Hammondstown and Tonaghmore,546,Fore,St. Feighins,Castletowndelvin
Hanstown,361,Moyashel and Magheradernon,Mullingar,Mullingar
Hareisland,110,Kilkenny West,Bunown,Athlone
Harrystown,168,Rathconrath,Ballymore,Ballymahon
Heathland,257,Corkaree,Lackan,Mullingar
Heathstown,508,Delvin,Killua,Castletowndelvin
Heathstown,864,Farbill,Killucan,Mullingar
Henfield,43,Moygoish,Rathaspick,Mullingar
Higginstown,247,Fartullagh,Carrick,Mullingar
Higginstown,309,Farbill,Killucan,Mullingar
Higginstown,693,Moycashel,Newtown,Mullingar
Hightown (or Balloughter),"1,283",Farbill,Killucan,Mullingar
Hillquarter,392,Brawny,St. Mary's,Athlone
Hilltown,682,Fore,St. Feighins,Castletowndelvin
Hiskinstown,305,Delvin,Killulagh,Castletowndelvin
Hodgestown,272,Farbill,Killucan,Mullingar
Hopestown,330,Moyashel and Magheradernon,Mullingar,Mullingar
Hospitalbank,67,Moygoish,Street,Granard
Huntingdon,135,Farbill,Killucan,Mullingar
Hydepark,701,Farbill,Killucan,Mullingar
Inchbofin,65,Kilkenny West,Noughaval,Athlone
Inchmore (Tiernan),65,Kilkenny West,Bunown,Athlone
Inchmore,132,Kilkenny West,Bunown,Athlone
Inchturk,50,Kilkenny West,Noughaval,Athlone
Irishtown,767,Rathconrath,Rathconrath,Mullingar
Irishtown,785,Moyashel and Magheradernon,Mullingar,Mullingar
Jamestown,189,Rathconrath,Churchtown,Mullingar
Jamestown,610,Rathconrath,Conry,Mullingar
Jeffrystown,327,Moyashel and Magheradernon,Rathconnell,Mullingar
Joanstown,"1,386",Moygoish,Rathaspick,Mullingar
Johnstown (Nugent) (or Monroe),113,Moygoish,Templeoran,Mullingar
Johnstown,426,Delvin,Kilcumny,Castletowndelvin
Johnstown,458,Delvin,Killulagh,Castletowndelvin
Johnstown,936,Moygoish,Templeoran,Mullingar
Jordanstown,95,Rathconrath,Rathconrath,Ballymahon
Joristown Lower,289,Farbill,Killucan,Mullingar
Joristown Upper,267,Farbill,Killucan,Mullingar
Keelbeg,118,Moycashel,Castletownkindalen,Mullingar
Keeloge,142,Moycashel,Durrow,Tullamore
Keenoge,89,Rathconrath,Killare,Ballymahon
Kellybrook,111,Rathconrath,Conry,Mullingar
Keoltown,494,Moyashel and Magheradernon,Mullingar,Mullingar
Kerinstown & Balrowan (Rowley),747,Farbill,Killucan,Mullingar
Kilbalraherd,231,Moycashel,Castletownkindalen,Mullingar
Kilbeg,603,Moycashel,Ardnurcher or Horseleap,Tullamore
Kilbeggan,Town,Moycashel,Kilbeggan,Tullamore
Kilbeggan,306,Moycashel,Kilbeggan,Tullamore
Kilbeggan North,84,Moycashel,Kilbeggan,Tullamore
Kilbeggan South,196,Moycashel,Kilbeggan,Tullamore
Kilbillaghan,246,Clonlonan,Kilcleagh,Athlone
Kilbixy,67,Moygoish,Kilbixy,Mullingar
Kilbrennan,620,Fartullagh,Castlelost,Mullingar
Kilbride,470,Fartullagh,Kilbride,Mullingar
Kilcatherina,229,Clonlonan,Kilcumreragh,Athlone
Kilcleagh,385,Clonlonan,Kilcleagh,Athlone
Kilcloghan,191,Moycashel,Newtown,Mullingar
Kilcornan,21,Kilkenny West,Drumraney,Ballymahon
Kilcornan,404,Kilkenny West,Noughaval,Ballymahon
Kilcumny,271,Delvin,Kilcumny,Castletowndelvin
Kilcumreragh,478,Moycashel,Kilcumreragh,Athlone
Kildallan,248,Moygoish,Templeoran,Mullingar
Kildallan North,257,Moygoish,Templeoran,Mullingar
Kilfaughny,145,Kilkenny West,Kilkenny West,Athlone
Kilgar,475,Delvin,Castletowndelvin,Castletowndelvin
Kilgaroan,345,Moycashel,Ardnurcher or Horseleap,Tullamore
Kilgarvan,228,Clonlonan,Kilcleagh,Athlone
Kilgarvan Glebe,"1,363",Clonlonan,Kilcleagh,Athlone
Kilgawny,533,Rathconrath,Piercetown,Mullingar
Kilhugh,404,Moycashel,Castletownkindalen,Mullingar
Kilkenny Abbey,279,Kilkenny West,Kilkenny West,Athlone
Kilkenny Lanesborough,122,Kilkenny West,Kilkenny West,Athlone
Kilkenny West,485,Kilkenny West,Kilkenny West,Athlone
Kill,175,Clonlonan,Kilcleagh,Athlone
Kill,222,Moygoish,Kilbixy,Mullingar
Killachonna (Castlemaine),77,Clonlonan,Ballyloughloe,Athlone
Killachonna (Clibborn),142,Clonlonan,Ballyloughloe,Athlone
Killachonna (Potts),10,Clonlonan,Ballyloughloe,Athlone
Killadoughran,420,Delvin,Castletowndelvin,Castletowndelvin
Killagh,851,Delvin,Killagh,Castletowndelvin
Killahugh,279,Rathconrath,Rathconrath,Mullingar
Killalea,20,Moycashel,Castletownkindalen,Mullingar
Killard,263,Moycashel,Ardnurcher or Horseleap,Mullingar
Killarecastle,508,Rathconrath,Killare,Mullingar
Killarechurch,258,Rathconrath,Killare,Mullingar
Killaroo,195,Rathconrath,Killare,Mullingar
Killavally,Town,Moycashel,Newtown,Mullingar
Killavally,817,Moycashel,Newtown,Mullingar
Killeagh,120,Moycashel,Ardnurcher or Horseleap,Mullingar
Killeen,170,Moycashel,Castletownkindalen,Mullingar
Killeenagh,92,Rathconrath,Killare,Mullingar
Killeenagroagh,43,Rathconrath,Killare,Mullingar
Killeenatoor,193,Clonlonan,Ballyloughloe,Athlone
Killeenbane (or Tullagh Upper),55,Rathconrath,Killare,Mullingar
Killeenboy,271,Rathconrath,Killare,Ballymahon
Killeenboylegan,180,Clonlonan,Kilmanaghan,Athlone
Killeenbrack,746,Rathconrath,Killare,Mullingar
Killeenerk,255,Rathconrath,Ballymorin,Mullingar
Killeenmore,419,Kilkenny West,Bunown,Athlone
Killeennanam,117,Kilkenny West,Drumraney,Ballymahon
Killeenycallaghan,109,Moycashel,Ardnurcher or Horseleap,Mullingar
Killinagh,728,Moygoish,Rathaspick,Mullingar
Killininneen,275,Kilkenny West,Drumraney,Ballymahon
Killinlahan,375,Moycashel,Castletownkindalen,Mullingar
Killinroan,142,Clonlonan,Ballyloughloe,Athlone
Killintown,232,Corkaree,Stonehall,Mullingar
Killinure North,753,Kilkenny West,Bunown,Athlone
Killinure South,115,Kilkenny West,Bunown,Athlone
Killogeenaghan,566,Clonlonan,Kilcleagh,Athlone
Killomenaghan,62,Clonlonan,Kilcleagh,Athlone
Killua,935,Delvin,Killua,Castletowndelvin
Killucan,Town,Farbill,Killucan,Mullingar
Killucan,356,Farbill,Killucan,Mullingar
Killulagh,131,Delvin,Killulagh,Castletowndelvin
Killynan (Cooke),"1,090",Moyashel and Magheradernon,Rathconnell,Mullingar
Killynan (Pratt),"1,181",Moyashel and Magheradernon,Rathconnell,Mullingar
Kilmacahill (or Caraun),408,Moygoish,Rathaspick,Mullingar
Kilmacnevan,240,Moygoish,Kilmacnevan,Mullingar
Kilmacuagh (Castlemaine),39,Brawny,St. Mary's,Athlone
Kilmacuagh (Cooke),50,Brawny,St. Mary's,Athlone
Kilmacuagh (Mechum),56,Brawny,St. Mary's,Athlone
Kilmaglish,517,Corkaree,Tyfarnham,Mullingar
Kilmore,630,Moygoish,Street,Granard
Kilnafaddoge,26,Brawny,St. Mary's,Athlone
Kilnagallagh,40,Moycashel,Ardnurcher or Horseleap,Mullingar
Kilnahinch,300,Clonlonan,Kilmanaghan,Athlone
Kilnalug,107,Moycashel,Ardnurcher or Horseleap,Mullingar
Kilpatrick,132,Moycashel,Ardnurcher or Horseleap,Mullingar
Kilpatrick,297,Rathconrath,Rathconrath,Mullingar
Kilpatrick,472,Corkaree,Leny,Mullingar
Kilpatrick,772,Moyashel and Magheradernon,Mullingar,Mullingar
Kilpatrick,843,Fore,Kilpatrick,Castletowndelvin
Kilphierish,269,Rathconrath,Piercetown,Ballymahon
Kilrush Lower,478,Delvin,Killua,Castletowndelvin
Kilrush Upper,444,Delvin,Killua,Castletowndelvin
Kilshallow,122,Moygoish,Street,Granard
Kiltareher,172,Moygoish,Street,Granard
Kiltober,380,Moycashel,Rahugh,Tullamore
Kiltober,58,Kilkenny West,Drumraney,Ballymahon
Kiltober and Grange,296,Moycashel,Kilbeggan,Tullamore
Kiltoom,536,Fore,Faughalstown,Granard
Kiltotan and Collinstown,328,Fartullagh,Castlelost,Mullingar
Kilwalter,84,Delvin,Kilcumny,Castletowndelvin
Knightswood,465,Corkaree,Leny,Mullingar
Kinnegad,Town,Farbill,Killucan,Mullingar
Kinnegad,"1,358",Farbill,Killucan,Mullingar
Kinturk Demesne,818,Fore,Rathgarve,Castletowndelvin
Kippin,103,Kilkenny West,Noughaval,Ballymahon
Kippinduff,273,Moycashel,Castletownkindalen,Mullingar
Kippinstown,60,Brawny,St. Mary's,Athlone
Knock Killua,306,Delvin,Killua,Castletowndelvin
Knockacurra,140,Moycashel,Castletownkindalen,Mullingar
Knockanea,210,Clonlonan,Kilcleagh,Athlone
Knockatee,289,Corkaree,Taghmon,Mullingar
Knockatee,7,Corkaree,Tyfarnham,Mullingar
Knockaville,809,Farbill,Killucan,Mullingar
Knockbody,336,Corkaree,Stonehall,Mullingar
Knockdomny,687,Clonlonan,Ballyloughloe,Athlone
Knockdrin,58,Corkaree,Tyfarnham,Mullingar
Knockdrin,71,Corkaree,Taghmon,Mullingar
Knockdrin,920,Moyashel and Magheradernon,Rathconnell,Mullingar
Knockdrin Demesne,68,Moyashel and Magheradernon,Mullingar,Mullingar
Knockmant,602,Farbill,Killucan,Mullingar
Knockmore,403,Moycashel,Newtown,Mullingar
Knockmorris,38,Corkaree,Lackan,Mullingar
Knockroe,36,Fore,Rathgarve,Granard
Knocksimon,132,Farbill,Killucan,Mullingar
Knockycosker,440,Moycashel,Newtown,Mullingar
Labaun,288,Clonlonan,Ballyloughloe,Athlone
Lackan,163,Kilkenny West,Kilkenny West,Athlone
Lackan,768,Corkaree,Lackan,Mullingar
Lackanwood,306,Corkaree,Lackan,Mullingar
Ladestown,401,Moyashel and Magheradernon,Mullingar,Mullingar
Ladestown,401,Moyashel and Magheradernon,Mullingar,Mullingar
Lakill and Moortown,837,Fore,St. Feighins,Castletowndelvin
Lakingstown,268,Moygoish,Kilmacnevan,Mullingar
Lalistown,349,Rathconrath,Conry,Mullingar
Laragh,147,Moygoish,Kilmacnevan,Mullingar
Laragh,627,Moycashel,Kilcumreragh,Athlone
Larkinstown,220,Corkaree,Stonehall,Mullingar
Lecade,95,Kilkenny West,Noughaval,Ballymahon
Legan,121,Clonlonan,Kilmanaghan,Athlone
Legan,87,Clonlonan,Ballyloughloe,Athlone
Lemongrove (or Rathcam),263,Fartullagh,Enniscoffey,Mullingar
Lenamore,49,Rathconrath,Ballymorin,Mullingar
Leny,163,Corkaree,Leny,Mullingar
Leny,294,Corkaree,Lackan,Mullingar
Lickbla,397,Fore,Lickbla,Granard
Lickny,52,Fore,Mayne,Granard
Lilliput (or Nure),244,Moycashel,Dysart,Mullingar
Lisclogher Great,"1,565",Delvin,Castletowndelvin,Castletowndelvin
Lisclogher Little (or Earlsmeadow),199,Delvin,Castletowndelvin,Castletowndelvin
Lisdachon,282,Kilkenny West,Kilkenny West,Athlone
Lisdossan,455,Kilkenny West,Noughaval,Ballymahon
Lisduff,142,Moygoish,Street,Granard
Lismacaffry,110,Moygoish,Street,Granard
Lismalady,174,Corkaree,Multyfarnham,Mullingar
Lismoyny,214,Moycashel,Ardnurcher or Horseleap,Tullamore
Lisnabin,276,Farbill,Killucan,Mullingar
Lisnacask,167,Rathconrath,Rathconrath,Mullingar
Lisnagappagh,71,Moygoish,Street,Granard
Lisnagree,403,Moycashel,Kilcumreragh,Athlone
Lisnascreen,143,Kilkenny West,Kilkenny West,Athlone
Lisnugent,62,Fore,Foyran,Granard
Lispopple,238,Fore,Mayne,Granard
Lissakillen North,131,Kilkenny West,Bunown,Athlone
Lissakillen South,180,Kilkenny West,Bunown,Athlone
Lissakilly,191,Moycashel,Castletownkindalen,Mullingar
Lissanode,592,Kilkenny West,Drumraney,Athlone
Lissaquill,114,Kilkenny West,Noughaval,Ballymahon
Lissatunny,142,Kilkenny West,Kilkenny West,Athlone
Lissavra Big,177,Moycashel,Ardnurcher or Horseleap,Mullingar
Lissavra Big,52,Moycashel,Ardnurcher or Horseleap,Mullingar
Lissoy,254,Kilkenny West,Kilkenny West,Athlone
Lissoy,45,Kilkenny West,Noughaval,Athlone
Lissywollen,196,Brawny,St. Marys,Athlone
Littletown,256,Kilkenny West,Kilkenny West,Ballymahon
Littlewood,203,Fore,Lickbla,Granard
Lockardstown,204,Rathconrath,Conry,Mullingar
Loughagar Beg,108,Moyashel and Magheradernon,Rathconnell,Mullingar
Loughagar More,906,Moyashel and Magheradernon,Rathconnell,Mullingar
Loughan,347,Rathconrath,Rathconrath,Mullingar
Loughanagore,313,Moycashel,Kilbeggan,Tullamore
Loughanalla,129,Fore,Rathgarve,Castletowndelvin
Loughanaskin,31,Brawny,St. Mary's,Athlone
Loughanavagh (or Newpark),172,Fore,St. Feighins,Castletowndelvin
Loughandonning,183,Brawny,St. Mary's,Athlone
Loughanlewnaght,144,Moycashel,Newtown,Mullingar
Loughanstown,134,Fore,Rathgarve,Granard
Loughanstown,155,Moygoish,Russagh,Granard
Loughanstown,275,Delvin,Castletowndelvin,Castletowndelvin
Loughanstown,357,Corkaree,Portnashangan,Mullingar
Loughanstown Lower (or Slievelahan),145,Moygoish,Russagh,Granard
Loughpark,171,Fore,St. Feighins,Castletowndelvin
Loughstown,89,Delvin,Kilcumny,Castletowndelvin
Lowertown,300,Moycashel,Rahugh,Tullamore
Lowerwood,233,Clonlonan,Kilcleagh,Athlone
Lowpark (or Ballyboy),262,Kilkenny West,Kilkenny West,Athlone
Lowtown (or Balleighter),395,Farbill,Killucan,Mullingar
Lugacaha,175,Rathconrath,Ballymore,Ballymahon
Luggygalla,82,Rathconrath,Rathconrath,Mullingar
Lugnagullagh,70,Corkaree,Tyfarnham,Mullingar
Lunestown,177,Farbill,Killucan,Castletowndelvin
Lurgan,108,Rathconrath,Killare,Mullingar
Lurgan,57,Kilkenny West,Kilkenny West,Athlone
Lurrig,108,Moycashel,Castletownkindalen,Mullingar
Lynn,"1,204",Fartullagh,Lynn,Mullingar
Mabestown,316,Delvin,Castletowndelvin,Castletowndelvin
Mabrista,125,Moycashel,Castletownkindalen,Mullingar
Mace,201,Moygoish,Rathaspick,Mullingar
Macetown,985,Moyashel and Magheradernon,Rathconnell,Mullingar
Mackanranny,131,Clonlonan,Ballyloughloe,Athlone
Maddadoo,160,Rathconrath,Killare,Ballymahon
Maghera,403,Kilkenny West,Noughaval,Ballymahon
Magheracuirknagh,3,Kilkenny West,Kilkenny West,Athlone
Magheramore,269,Clonlonan,Ballyloughloe,Athlone
Magheramurry,135,Clonlonan,Kilmanaghan,Athlone
Magheranerla,12,Brawny,St. Mary's,Athlone
Mahonstown,507,Fartullagh,Enniscoffey,Mullingar
Malthousepark,8,Rathconrath,Piercetown,Ballymahon
Marlinstown,673,Moyashel and Magheradernon,Mullingar,Mullingar
Marlinstown Bog,117,Moyashel and Magheradernon,Mullingar,Mullingar
Martinstown,33,Fore,Lickbla,Castletowndelvin
Martinstown,376,Delvin,Castletowndelvin,Castletowndelvin
Martinstown,532,Corkaree,Stonehall,Mullingar
Martinstown,592,Fore,St. Mary's,Castletowndelvin
Mayne,540,Fore,Mayne,Granard
Meadowpark,63,Moycashel,Kilbeggan,Tullamore
Meedian,460,Fartullagh,Clonfad,Mullingar
Meehan,267,Brawny,St. Mary's,Athlone
Meeldrum,131,Moycashel,Kilbeggan,Tullamore
Meeniska,58,Moycashel,Kilbeggan,Tullamore
Meersparkfarm (or Demesne),238,Moycashel,Kilbeggan,Tullamore
Milkernagh,376,Moygoish,Street,Granard
Mill Land,37,Farbill,Killucan,Mullingar
Millcastle,228,Fore,Rathgarve,Castletowndelvin
Millerstown,72,Farbill,Killucan,Mullingar
Milltown,701,Rathconrath,Churchtown,Mullingar
Milltown,Town,Fartullagh,Pass of Kilbride,Mullingar
Milltown,"1,115",Fartullagh,Pass of Kilbride,Mullingar
Milltown,195,Rathconrath,Ballymore,Ballymahon
Milltown,310,Rathconrath,Rathconrath,Mullingar
Milltown,775,Fore,Faughalstown,Castletowndelvin
Mitchelstown,298,Delvin,Castletowndelvin,Castletowndelvin
Moate,Town,Clonlonan,Kilcleagh,Athlone
Moate,Town,Clonlonan,Kilmanaghan,Athlone
Moategranoge,374,Clonlonan,Kilcleagh,Athlone
Modranstown,122,Rathconrath,Rathconrath,Mullingar
Monaduff,170,Moycashel,Ardnurcher or Horseleap,Mullingar
Monagead,164,Moygoish,Street,Granard
Monaghanstown,787,Moycashel,Dysart,Mullingar
Monasset,912,Moycashel,Rahugh,Tullamore
Moneen,191,Clonlonan,Kilcleagh,Athlone
Money,268,Fore,Foyran,Granard
Moneybeg,261,Fore,Foyran,Granard
Moneylea,3,Moyashel and Magheradernon,Rathconnell,Mullingar
Moneynamanagh (or Umma Beg),207,Rathconrath,Ballymore,Athlone
Monganstown,483,Farbill,Killucan,Mullingar
Monintown,116,Corkaree,Stonehall,Mullingar
Monintown,425,Corkaree,Multyfarnham,Mullingar
Monkstown,589,Corkaree,Taghmon,Mullingar
Monktown,379,Fore,Mayne,Granard
Monroe or Johnstown (Nugent),113,Moygoish,Templeoran,Mullingar
Monroe,167,Corkaree,Portloman,Mullingar
Montrath,983,Moycashel,Rahugh,Tullamore
Moorerow (or Tonlegee),297,Fartullagh,Kilbride,Mullingar
Mooretown,400,Delvin,Castletowndelvin,Castletowndelvin
Moortown and Lakill,837,Fore,St. Feighins,Castletowndelvin
Moranspark,8,Rathconrath,Killare,Mullingar
Moranstown,47,Moygoish,Kilbixy,Mullingar
Mosstown (or Ballinkeeny),212,Rathconrath,Killare,Mullingar
Mosstown Demesne,140,Rathconrath,Killare,Mullingar
Mount Temple,580,Clonlonan,Ballyloughloe,Athlone
Mountmurray,357,Corkaree,Portnashangan,Mullingar
Mountrobert,143,Moyashel and Magheradernon,Rathconnell,Mullingar
Moycashel,680,Moycashel,Ardnurcher or Horseleap,Tullamore
Moydrum,474,Brawny,St. Mary's,Athlone
Moydrum,498,Clonlonan,Ballyloughloe,Athlone
