Townland,Acres,Barony,Civil parish,Poor law union
Moygrehan Lower,259,Delvin,Killua,Castletowndelvin
Moygrehan Upper,237,Delvin,Killua,Castletowndelvin
Moyleroe Big,298,Delvin,Castletowndelvin,Castletowndelvin
Moyleroe Little,60,Delvin,Castletowndelvin,Castletowndelvin
Moyvore,Town,Rathconrath,Templepatrick,Ballymahon
Moyvore,"1,483",Rathconrath,Templepatrick,Ballymahon
Moyvoughly,"1,911",Rathconrath,Ballymore,Athlone
Muckanagh,634,Kilkenny West,Noughaval,Athlone
Muckletown,10,Delvin,Castletowndelvin,Castletowndelvin
Mucklin,131,Delvin,Killucan,Castletowndelvin
Mulchanstown,110,Delvin,Killulagh,Castletowndelvin
Mullagh,278,Fore,Lickbla,Granard
Mullaghcloe,633,Rathconrath,Killare,Ballymahon
Mullaghcroy,526,Delvin,Castletowndelvin,Castletowndelvin
Mullaghmeen,436,Fore,Foyran,Granard
Mullanakill,125,Fore,Rathgarve,Castletowndelvin
Mullenmeehan,523,Rathconrath,Ballymore,Ballymahon
Mulliganstown,552,Delvin,Clonarney,Castletowndelvin
Mullingar,Town,Moyashel and Magheradernon,Mullingar,Mullingar
Mullingar,857,Moyashel and Magheradernon,Mullingar,Mullingar
Multyfarnham,Town,Corkaree,Multyfarnham,Mullingar
Multyfarnham (or Fearbranagh),116,Corkaree,Tyfarnham,Mullingar
Multyfarnham (or Fearbranagh),142,Corkaree,Stonehall,Mullingar
Multyfarnham,185,Corkaree,Multyfarnham,Mullingar
Mweelra,91,Rathconrath,Conry,Mullingar
Mylestown,144,Farbill,Killucan,Mullingar
Nahod Little,156,Clonlonan,Ballyloughloe,Athlone
Nahod More,183,Clonlonan,Ballyloughloe,Athlone
Newbristy North,126,Rathconrath,Ballymorin,Mullingar
Newbristy South,55,Rathconrath,Ballymorin,Mullingar
Newcastle,358,Fore,Lickbla,Granard
Newcastle,508,Fartullagh,Clonfad,Mullingar
Newcastle,67,Clonlonan,Kilcleagh,Athlone
Newdown,"1,406",Farbill,Killucan,Mullingar
Newgrove,34,Kilkenny West,Drumraney,Ballymahon
Newpark (or Loughanavagh),172,Fore,St. Feighins,Castletowndelvin
Newpass Demesne,131,Moygoish,Rathaspick,Granard
Newtown,131,Fore,Mayne,Granard
Newtown,181,Moyashel and Magheradernon,Mullingar,Mullingar
Newtown,395,Delvin,Castletowndelvin,Castletowndelvin
Newtown,525,Rathconrath,Ballymore,Ballymahon
Newtownlow,190,Moycashel,Newtown,Mullingar
Nicholastown,163,Rathconrath,Churchtown,Mullingar
Nicholastown,33,Kilkenny West,Noughaval,Ballymahon
Nonsuch,220,Fore,Mayne,Granard
Noughaval,557,Kilkenny West,Noughaval,Ballymahon
Nuns Island,44,Kilkenny West,Bunown,Athlone
Nure (or Lilliput),244,Moycashel,Dysart,Mullingar
Oldtown (or Puddingstreet),111,Kilkenny West,Drumraney,Ballymahon
Oldtown,364,Fartullagh,Castlelost,Mullingar
Ories,378,Clonlonan,Kilcleagh,Athlone
Packenhamhall (or Tullynally),471,Fore,Mayne,Granard
Paddinstown Lower,410,Rathconrath,Rathconrath,Ballymahon
Paddinstown Upper,172,Rathconrath,Rathconrath,Ballymahon
Pallas,303,Moycashel,Durrow,Tullamore
Pallasboy,481,Moycashel,Rahugh,Tullamore
Parcellstown,123,Rathconrath,Rathconrath,Mullingar
Parcellstown,727,Moygoish,Templeoran,Mullingar
Paristown,120,Delvin,Killua,Castletowndelvin
Parsonstown,413,Corkaree,Tyfarnham,Mullingar
Paslicktown,272,Fartullagh,Moylisker,Mullingar
Pass of Kilbride,"1,999",Fartullagh,Pass of Kilbride,Mullingar
Pearsonsbrook,208,Kilkenny West,Kilkenny West,Athlone
Petitswood,552,Moyashel and Magheradernon,Mullingar,Mullingar
Piercefield (or Templeoran),740,Moygoish,Templeoran,Mullingar
Piercefield,255,Corkaree,Portnashangan,Mullingar
Piercetown,233,Rathconrath,Piercetown,Ballymahon
Piercetown,313,Fartullagh,Castlelost,Mullingar
Pishanagh,128,Kilkenny West,Drumraney,Ballymahon
Pishanagh,73,Rathconrath,Rathconrath,Mullingar
Plodstown,167,Moyashel and Magheradernon,Mullingar,Mullingar
Plodstown,52,Fartullagh,Mullingar,Mullingar
Portaneena,219,Kilkenny West,Kilkenny West,Athlone
Porterstown (Cooke),367,Farbill,Killucan,Mullingar
Porterstown (Napper),157,Farbill,Killucan,Mullingar
Portjack,123,Fore,Mayne,Granard
Portlick,373,Kilkenny West,Bunown,Athlone
Portloman,267,Corkaree,Portloman,Mullingar
Portnashangan,498,Corkaree,Portnashangan,Mullingar
Pottiaghan Commons,153,Rathconrath,Killare,Ballymahon
Prebaun,40,Fartullagh,Moylisker,Mullingar
Priesttown,224,Farbill,Killucan,Mullingar
Printinstown,323,Delvin,Castletowndelvin,Castletowndelvin
Puddingstreet (or Oldtown),111,Kilkenny West,Drumraney,Ballymahon
Quarry,201,Moyashel and Magheradernon,Mullingar,Mullingar
Rackavra,501,Rathconrath,Killare,Mullingar
Rahadorrish,153,Rathconrath,Templepatrick,Ballymahon
Rahanine,568,Fartullagh,Castlelost,Mullingar
Raharney,Town,Farbill,Killucan,Mullingar
Raharney,243,Farbill,Killucan,Mullingar
Raharney Little,56,Farbill,Killucan,Castletowndelvin
Raheen,682,Rathconrath,Ballymore,Athlone
Raheen Beg,115,Fore,Rathgarve,Granard
Raheen More,132,Fore,Rathgarve,Castletowndelvin
Rahinashene and Spittaltown,141,Moycashel,Newtown,Mullingar
Rahinashurock,96,Moycashel,Newtown,Mullingar
Rahincuill,486,Fartullagh,Newtown,Mullingar
Rahinmore,169,Moycashel,Newtown,Mullingar
Rahugh,271,Moycashel,Rahugh,Tullamore
Ralphsdale,163,Delvin,Kilcumny,Castletowndelvin
Ranaghan,641,Fore,St. Feighins,Castletowndelvin
Ranahiuch,261,Fore,Faughalstown,Castletowndelvin
Rath (Malone),37,Rathconrath,Piercetown,Mullingar
Rath,112,Moygoish,Kilbixy,Mullingar
Rath,352,Kilkenny West,Kilkenny West,Athlone
Rath,652,Moygoish,Street,Granard
Rath Lower,121,Kilkenny West,Noughaval,Ballymahon
Rath Upper,174,Kilkenny West,Noughaval,Ballymahon
Rathaniska,114,Corkaree,Leny,Mullingar
Rathaniska,6,Corkaree,Lackan,Mullingar
Rathaspick,126,Moygoish,Rathaspick,Mullingar
Rathbennett,333,Corkaree,Leny,Mullingar
Rathbrack,38,Farbill,Killucan,Mullingar
Rathcaled,383,Rathconrath,Rathconrath,Mullingar
Rathcam (or Lemongrove),263,Fartullagh,Enniscoffey,Mullingar
Rathcarra,34,Rathconrath,Ballymorin,Mullingar
Rathcastle,145,Rathconrath,Rathconrath,Mullingar
Rathclittagh,227,Moygoish,Rathaspick,Mullingar
Rathcogue,188,Rathconrath,Piercetown,Ballymahon
Rathcolman,307,Moyashel and Magheradernon,Mullingar,Mullingar
Rathconnell,575,Moyashel and Magheradernon,Rathconnell,Mullingar
Rathconrath,Town,Rathconrath,Rathconrath,Mullingar
Rathconrath,152,Rathconrath,Rathconrath,Mullingar
Rathcorbally,175,Corkaree,Taghmon,Mullingar
Rathcore,163,Rathconrath,Churchtown,Mullingar
Rathcreevagh,437,Fore,Lickbla,Castletowndelvin
Rathdrishoge,382,Moycashel,Castletownkindalen,Mullingar
Rathduff (or Anneville),335,Fartullagh,Moylisker,Mullingar
Rathduff,148,Clonlonan,Ballyloughloe,Athlone
Rathduff,295,Rathconrath,Rathconrath,Mullingar
Rathganny,498,Corkaree,Multyfarnham,Mullingar
Rathgarrett,"2,582",Fartullagh,Newtown,Mullingar
Rathgarve,97,Fore,Rathgarve,Castletowndelvin
Rathgowan (or Farranshock),85,Moyashel and Magheradernon,Mullingar,Mullingar
Rathlevanagh,256,Corkaree,Portnashangan,Mullingar
Rathmore,204,Moygoish,Kilmacnevan,Mullingar
Rathnamuddagh,"1,538",Moyashel and Magheradernon,Dysart,Mullingar
Rathnarrow,107,Farbill,Killucan,Mullingar
Rathnew,92,Rathconrath,Conry,Mullingar
Rathnugent,107,Moycashel,Castletownkindalen,Mullingar
Rathnure,197,Fartullagh,Clonfad,Mullingar
Rathowen,Town,Moygoish,Rathaspick,Granard
Rathowen (Edward),93,Moygoish,Rathaspick,Granard
Rathowen,307,Moygoish,Rathaspick,Granard
Rathowen,59,Moygoish,Russagh,Granard
Rathshane,175,Fore,Foyran,Granard
Rathskeagh Loweer,181,Rathconrath,Killare,Mullingar
Rathskeagh Upper,438,Rathconrath,Killare,Mullingar
Rathtrim,129,Rathconrath,Rathconrath,Mullingar
Rathwire,Town,Farbill,Killucan,Mullingar
Rathwire Lower,369,Farbill,Killucan,Mullingar
Rathwire Upper,437,Farbill,Killucan,Mullingar
Ratrass,218,Farbill,Killucan,Castletowndelvin
Rattin,"1,528",Farbill,Killucan,Mullingar
Redmondstown,659,Rathconrath,Churchtown,Mullingar
Rehabane,484,Moygoish,Street,Granard
Relick (Longworth),215,Rathconrath,Piercetown,Ballymahon
Relick (Malone),36,Rathconrath,Piercetown,Ballymahon
Retreat,89,Brawny,St. Mary's,Athlone
Reynella,611,Moyashel and Magheradernon,Rathconnell,Mullingar
Rickardstown,839,Delvin,Killulagh,Castletowndelvin
Ringstown,235,Fore,Faughalstown,Castletowndelvin
Riverdale,"1,695",Farbill,Killucan,Castletowndelvin
Riverstown,457,Farbill,Killucan,Mullingar
Robinstown (Levinge),306,Moyashel and Magheradernon,Mullingar,Mullingar
Robinstown (Tyrrell),250,Moyashel and Magheradernon,Mullingar,Mullingar
Robinstown,152,Fore,Lickbla,Castletowndelvin
Robinstown,20,Fartullagh,Clonfad,Mullingar
Robinstown,318,Fartullagh,Carrick,Mullingar
Robinstown,393,Delvin,Kilcumny,Castletowndelvin
Robinstown Great,98,Delvin,Castletowndelvin,Castletowndelvin
Robinstown Little,23,Delvin,Castletowndelvin,Castletowndelvin
Robinstown Lower,98,Fore,Rathgarve,Castletowndelvin
Robinstown Upper,125,Fore,Rathgarve,Castletowndelvin
Rochestown,154,Fore,Lickbla,Granard
Rochfort Demesne,450,Fartullagh,Moylisker,Mullingar
Rochfortbridge,Town,Fartullagh,Castlelost,Mullingar
Rockfield (or Crumlin),297,Moygoish,Rathaspick,Mullingar
Rogerstown,133,Rathconrath,Churchtown,Mullingar
Rooan,86,Kilkenny West,Bunown,Athlone
Rosmead and Cavestown,"1,346",Delvin,Castletowndelvin,Castletowndelvin
Ross,93,Kilkenny West,Noughaval,Athlone
Rossbeg,95,Moycashel,Rahugh,Tullamore
Rostalla,272,Moycashel,Durrow,Tullamore
Rowe (or Toordillon),60,Rathconrath,Killare,Mullingar
Rowlandstown,290,Rathconrath,Rathconrath,Mullingar
Russagh,240,Moygoish,Russagh,Granard
Russellstown,455,Fartullagh,Mullingar,Mullingar
Russellstown Little,37,Fartullagh,Mullingar,Mullingar
Sarsanstown,124,Moyashel and Magheradernon,Mullingar,Mullingar
Sarsfieldstown,76,Farbill,Killucan,Mullingar
Scroghil,54,Clonlonan,Kilcleagh,Athlone
Scurlockstown,151,Corkaree,Portloman,Mullingar
Scurlockstown,575,Delvin,Clonarney,Castletowndelvin
Seeoge,150,Clonlonan,Kilcleagh,Athlone
Shanonagh,533,Moygoish,Templeoran,Mullingar
Sheean,56,Clonlonan,Kilcleagh,Athlone
Sheean,75,Rathconrath,Rathconrath,Ballymahon
Sheefin,295,Corkaree,Taghmon,Mullingar
Sheepstown,385,Delvin,Clonarney,Castletowndelvin
Sheskernagh,104,Fore,Rathgarve,Castletowndelvin
Shinglis,"1,581",Rathconrath,Ballymore,Ballymahon
Shrubbywood,280,Fore,Mayne,Granard
Shureen and Ballynasuddery,171,Moycashel,Kilbeggan,Tullamore
Shurock,109,Moycashel,Castletownkindalen,Mullingar
Shurock,257,Clonlonan,Ballyloughloe,Athlone
Simonstown,126,Fartullagh,Kilbride,Mullingar
Simonstown,230,Fartullagh,Enniscoffey,Mullingar
Simonstown,279,Rathconrath,Rathconrath,Mullingar
Simonstown,285,Fore,Mayne,Granard
Simonstown,47,Farbill,Killucan,Mullingar
Sionhill,398,Farbill,Killucan,Mullingar
Skeagh Beg,52,Rathconrath,Rathconrath,Mullingar
Skeagh More,397,Rathconrath,Rathconrath,Mullingar
Skeahanagh,237,Moycashel,Kilbeggan,Tullamore
Skeanaveane,32,Kilkenny West,Bunown,Athlone
Skeheen (Evans),132,Moycashel,Ardnurcher or Horseleap,Mullingar
Skeheen (Nagle),229,Moycashel,Ardnurcher or Horseleap,Mullingar
Slane Beg,308,Moyashel and Magheradernon,Dysart,Mullingar
Slane More,408,Moyashel and Magheradernon,Dysart,Mullingar
Slanestown,478,Moyashel and Magheradernon,Mullingar,Mullingar
Slieveboy,491,Fore,Rathgarve,Castletowndelvin
Slievelahan (or Loughanstown Lower),145,Moygoish,Russagh,Granard
Snimnagorta,265,Rathconrath,Ballymore,Ballymahon
Soho,118,Corkaree,Multyfarnham,Mullingar
Sonnagh,190,Moycashel,Rahugh,Tullamore
Sonnagh Demesne,478,Moygoish,Templeoran,Mullingar
South Hill,174,Delvin,Castletowndelvin,Castletowndelvin
Spittaltown & Rahinashane,141,Moycashel,Newtown,Mullingar
Spittaltown,254,Moycashel,Ardnurcher or Horseleap,Mullingar
Spittlefield (or Springfield),274,Moyashel and Magheradernon,Mullingar,Mullingar
Springfield (or Spittlefield),274,Moyashel and Magheradernon,Mullingar,Mullingar
Sraduff,249,Moycashel,Castletownkindalen,Mullingar
Srahenry,7,Moyashel and Magheradernon,Mullingar,Mullingar
Srameen,43,Brawny,St. Mary's,Athlone
Sraneeg,264,Moycashel,Castletownkindalen,Mullingar
Srunahella,212,Fore,Rathgarve,Castletowndelvin
Stokestown,288,Moyashel and Magheradernon,Mullingar,Mullingar
Stonehall,387,Corkaree,Stonehall,Mullingar
Stonehousefarm,125,Moycashel,Kilbeggan,Tullamore
Stonestown,242,Delvin,Castletowndelvin,Castletowndelvin
Stonestown,268,Fore,Rathgarve,Castletowndelvin
Stonestown,521,Delvin,Clonarney,Castletowndelvin
Stonestown,61,Delvin,Killulagh,Castletowndelvin
Stongaluggaun,29,Moygoish,Rathaspick,Mullingar
Strattonstown,375,Moyashel and Magheradernon,Mullingar,Mullingar
Streamstown,110,Kilkenny West,Drumraney,Ballymahon
Streamstown,468,Fore,Faughalstown,Castletowndelvin
Streamstown,69,Kilkenny West,Noughaval,Ballymahon
Streamstown,958,Moycashel,Ardnurcher or Horseleap,Mullingar
Syonan,100,Moycashel,Ardnurcher or Horseleap,Mullingar
Taghboyne,172,Rathconrath,Churchtown,Mullingar
Taghmon,"1,120",Corkaree,Taghmon,Mullingar
Taghnafearagh,170,Rathconrath,Killare,Mullingar
Tallyho,69,Fartullagh,Moylisker,Mullingar
Teermore,95,Moycashel,Ardnurcher or Horseleap,Mullingar
Teernacreeve,303,Moycashel,Castletownkindalen,Mullingar
Teevrevagh,96,Fore,Rathgarve,Castletowndelvin
Templanstown,179,Fore,Faughalstown,Castletowndelvin
Templanstown,205,Fore,St. Feighins,Castletowndelvin
Templemacateer,136,Moycashel,Ardnurcher or Horseleap,Mullingar
Templeoran (or Piercefield),740,Moygoish,Templeoran,Mullingar
Templeoran North,280,Fartullagh,Clonfad,Mullingar
Templeoran South,40,Fartullagh,Clonfad,Mullingar
Templepatrick,272,Rathconrath,Templepatrick,Ballymahon
Temple's Island,2,Kilkenny West,Kilkenny West,Athlone
Tevrin,343,Moyashel and Magheradernon,Rathconnell,Mullingar
Thomastown,68,Farbill,Killucan,Mullingar
Tinode,723,Moygoish,Street,Granard
Tober,192,Corkaree,Multyfarnham,Mullingar
Toberaquill,363,Corkaree,Taghmon,Mullingar
Tobercleare,463,Kilkenny West,Kilkenny West,Athlone
Tobercormick,501,Rathconrath,Ballymorin,Mullingar
Tobernagauhoge,118,Kilkenny West,Kilkenny West,Athlone
Togher,676,Fore,Foyran,Granard
Togherstown,606,Rathconrath,Conry,Mullingar
Tonagh,446,Kilkenny West,Kilkenny West,Athlone
Tonaghmore&Hammondstown,546,Fore,St. Feighins,Castletowndelvin
Tonaphort,238,Moycashel,Kilbeggan,Tullamore
Tonashammer,539,Fore,St. Feighins,Castletowndelvin
Tonlegee (or Moorerow),297,Fartullagh,Kilbride,Mullingar
Tonlegee,76,Kilkenny West,Noughaval,Ballymahon
Tonlemony,104,Rathconrath,Templepatrick,Ballymahon
Tonyowen Lower,157,Fore,Foyran,Granard
Tonyowen Upper,196,Fore,Foyran,Granard
Toor Commons,14,Moygoish,Kilbixy,Mullingar
Toorbeg,218,Kilkenny West,Drumraney,Athlone
Toorcoffey,13,Rathconrath,Killare,Mullingar
Toorevagh,148,Rathconrath,Ballymore,Ballymahon
Toorfelim,279,Clonlonan,Kilmanaghan,Athlone
Toorillon (or Rowe),60,Rathconrath,Killare,Mullingar
Toorlisnamore,583,Moycashel,Castletownkindalen,Mullingar
Toorydonnellan,111,Clonlonan,Kilcleagh,Athlone
Tornanstown,130,Fartullagh,Lynn,Mullingar
Torque,157,Moycashel,Newtown,Mullingar
Townparks,391,Fore,Rathgarve,Castletowndelvin
Tristernagh,158,Moygoish,Kilbixy,Mullingar
Tristernagh Demesne,380,Moygoish,Kilbixy,Mullingar
Tromra,697,Fore,Rathgarve,Granard
Tubbrit,86,Clonlonan,Kilcleagh,Athlone
Tuitestown,543,Fore,Kilpatrick,Castletowndelvin
Tuitestown,729,Moyashel and Magheradernon,Mullingar,Mullingar
Tullagh Upper (or Killeenbane),55,Rathconrath,Killare,Mullingar
Tullaghan,142,Kilkenny West,Kilkenny West,Athlone
Tullaghan,633,Moyashel and Magheradernon,Mullingar,Mullingar
Tullaghanmore,122,Moycashel,Castletownkindalen,Mullingar
Tullaghanshanlin,162,Clonlonan,Ballyloughloe,Athlone
Tullaghansleek,51,Moycashel,Castletownkindalen,Mullingar
Tullaghnacrossan,77,Moycashel,Castletownkindalen,Mullingar
Tullanageeragh,55,Clonlonan,Kilcleagh,Athlone
Tullanisky,759,Fartullagh,Lynn,Mullingar
Tullin,108,Brawny,St. Mary's,Athlone
Tully,535,Clonlonan,Ballyloughloe,Athlone
Tullybane,299,Clonlonan,Ballyloughloe,Athlone
Tullycross,298,Brawny,St. Mary's,Athlone
Tullyhill,99,Fore,Foyran,Granard
Tullyhogan,46,Kilkenny West,Kilkenny West,Athlone
Tullyhumphrys,21,Kilkenny West,Kilkenny West,Athlone
Tullylanesborough,40,Kilkenny West,Kilkenny West,Athlone
Tullynally (or Pakenhamhall),471,Fore,Mayne,Granard
Tullystown,477,Fore,Foyran,Granard
Tullywood,275,Clonlonan,Ballyloughloe,Athlone
Turbotstown,305,Fore,Moyne,Granard
Twyford,535,Clonlonan,Ballyloughloe,Athlone
Tyfarnham,313,Corkaree,Tyfarnham,Mullingar
Tyrrellspass,Town,Fartullagh,Clonfad,Mullingar
Tyrrellspass,Town,Fartullagh,Newtown,Mullingar
Tyrrellspass,398,Fartullagh,Clonfad,Mullingar
Tyrrellstown,368,Fartullagh,Moylisker,Mullingar
Umma Beg (or Moneynamanagh),207,Rathconrath,Ballymore,Athlone
Umma More,387,Rathconrath,Ballymore,Athlone
Ushnagh Hill,251,Rathconrath,Conry,Mullingar
Vilanstown,600,Fartullagh,Lynn,Mullingar
Wadestown,80,Farbill,Killucan,Mullingar
Walderstown,402,Kilkenny West,Drumraney,Ballymahon
Walshestown North,327,Moyashel and Magheradernon,Mullingar,Mullingar
Walshestown South,898,Moyashel and Magheradernon,Mullingar,Mullingar
Walterstown,206,Fartullagh,Carrick,Mullingar
Wardenstown,184,Farbill,Killucan,Mullingar
Warren High,283,Clonlonan,Ballyloughloe,Athlone
Warren Lower,72,Clonlonan,Ballyloughloe,Athlone
Warrensfields,6,Brawny,St. Mary's,Athlone
Waterstown,904,Kilkenny West,Kilkenny West,Athlone
Wattstown,284,Corkaree,Portloman,Mullingar
Whinning,239,Kilkenny West,Bunown,Athlone
Whitewell,403,Fartullagh,Kilbride,Mullingar
Williamstown (Briscoe),244,Delvin,Killulagh,Castletowndelvin
Williamstown (Rockford),163,Delvin,Killulagh,Castletowndelvin
Williamstown,221,Fore,Mayne,Granard
Williamstown,321,Clonlonan,Ballyloughloe,Athlone
Williamstown,490,Fore,Foyran,Granard
Williamstown,762,Rathconrath,Piercetown,Ballymahon
Williamstown New,291,Rathconrath,Piercetown,Ballymahon
Windmill (or Blackislands),152,Fartullagh,Enniscoffey,Mullingar
Windtown,158,Moygoish,Rathaspick,Granard
Windtown,470,Moyashel and Magheradernon,Mullingar,Mullingar
Windtown,497,Fore,St. Feighins,Castletowndelvin
Windtown North,114,Moygoish,Russagh,Granard
Windtown South,190,Moygoish,Russagh,Granard
Wooddown,906,Farbill,Killucan,Mullingar
Yorkfield,47,Moyashel and Magheradernon,Dysart,Mullingar
